year_of_assessment,economic_sector,no_of_companies,assessable_income,chargeable_income,net_tax_assessed
2016,Accommodation & Food Service Activities,2441,na,1284906,204618
2016,Transportation & Storage,3808,na,5691292,857103
2016,Information & Communications,3498,na,4233640,517525
2016,Financial & Insurance Activities,9023,na,33271639,4196441
2016,Real Estate & Business Activities,17587,na,21356825,2921737
2016,Others,6335,na,2391401,344404
2017,Manufacturing,4912,na,16137408,1617032
2017,Construction,5929,na,3074399,475734
2017,Utilities,202,na,881937,147957
2017,Other Goods Industries,172,na,342595,35397
2017,Wholesale & Retail Trade,20275,na,29260530,3096608
2017,Accommodation & Food Service Activities,2472,na,1331099,211357
2017,Transportation & Storage,3707,na,4982353,733611
2017,Information & Communications,3901,na,3915731,600830
2017,Financial & Insurance Activities,9726,na,31465247,3815630
2017,Real Estate & Business Activities,18386,na,26620744,3251569
2017,Others,6682,na,2752760,390795
2018,Manufacturing,4840,na,21911779,1869659
2018,Construction,5693,na,2565240,408330
2018,Utilities,193,na,861611,145235
2018,Other Goods Industries,168,na,131551,20438
2018,Wholesale & Retail Trade,20480,na,35020384,3506200
2018,Accommodation & Food Service Activities,2544,na,1367124,222402
2018,Transportation & Storage,3712,na,5549703,823216
2018,Information & Communications,4114,na,4731166,712652
2018,Financial & Insurance Activities,10140,na,39181974,4451027
2018,Real Estate & Business Activities,18930,na,33532409,3327039
2018,Others,6983,na,5529064,437592
2019,Manufacturing,4822,na,34035092,2408970
2019,Construction,5383,na,2759098,453023
2019,Utilities,200,na,941730,159188
2019,Other Goods Industries,157,na,1230913,80059
2019,Wholesale & Retail Trade,20692,na,38036372,3859121
2019,Accommodation & Food Service Activities,2388,na,1537546,254654
2019,Transportation & Storage,3804,na,5449933,806684
2019,Information & Communications,4211,na,6718019,946263
2019,Financial & Insurance Activities,10356,na,37149526,4432786
2019,Real Estate & Business Activities,19447,na,32665231,3169978
2019,Others,7077,na,3281646,501556
